Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
32,Wetlina,P,tylko pzb.,-,-,leski
33,Węglówka,Z,-,-,0.07,krośnieński
34,Wola Jasienicka,E,"
tylko pzb.",0.62,0.08,"brzozowski,
krośnieński"
35,Zatwarnica,E,0.24,-,0.01,bieszczadzki
1,Aleksandrówka,E,"
192.16",110.27,9.19,górowski
2,Antonin 1,E,7.20,7.20,0.42,"ostrowski,
ostrzeszowski"
3,Babimost,P,910.00,-,-,zielonogórski
4,Białogard,"
E",95.46,9.14,11.92,białogardzki
5,Białogóra-E,Z,tylko pzb.,1.02,-,pucki
6,Błotno,E,2.22,-,0.07,goleniowski
7,"
BMB (Barnówko -
Mostno - Buszewo)",E,4 353.94,1 189.85,365.94,"gorzowski,
myśliborski"
8,Bogdaj-Uciechów,E,3 799.06,2 575.16,104.19,"milicki, ostrowski"
9,Bonikowo,G,328.63,-,-,"grodziski,
kościański"
10,Borowo,P,65.00,-,-,kościański
11,Borzęcin,E,96.64,115.03,18.25,trzebnicki
12,"
Breslack-Kosarzyn",E,9.07,0.83,0.02,krośnieński
13,Brońsko,E,18 108.35,16 708.42,794.04,"grodziski,
kościański"
15,Buk,E,9.69,-,0.09,".
nowotomyski,
poznański"
16,Bukowiec,E,68.70,47.19,0.52,"grodziski,
nowotomyski"
17,Ceradz Dolny,Z,85.27,-,"
-","poznański,
szamotulski"
18,Ciechnowo,E,72.33,45.47,17.10,świdwiński
19,Ciecierzyn,E,502.84,290.41,16.38,"lubelski, m.Lublin"
20,Czeklin,P,95.00,-,-,krośnieński
21,Czeszów,E,423.22,325.68,"
-","milicki, oleśnicki,
trzebnicki"
22,Daszewo,G,27.72,-,-,białogardzki
23,Daszewo N,E,1 039.98,266.25,5.70,kołobrzeski
24,Dębina,R,189.71,"
-",-,"głogowski,
wschowski"
25,Dębki,E,0.42,4.94,0.23,pucki
26,Duszniki E,Z,-,-,-,szamotulski
27,Dzieduszyce,E,71.68,-,0.70,gorzowski
28,ElŜbieciny,E,129.52,"
129.52",21.97,grodziski
29,Gajewo,B,"
16.88",-,1.31,"gorzowski,
myśliborski"
30,Glinnik,E,tylko pzb.,-,0.05,"lubartowski,
lubelski"
31,Gorzyce,P,"
tylko pzb.",-,-,kościański
32,Gorzysław N,E,452.75,258.82,19.32,gryficki
33,Gorzysław S,E,420.90,56.25,0.49,gryficki
34,Góra,E,236.41,210.96,40.64,górowski
35,Górzyca,E,522.10,487.07,42.98,słubicki
36,Grabówka E,E,"
37.32",25.76,2.38,milicki
37,Grabówka W,P,170.00,-,-,milicki
38,Grochowice,E,1 297.45,131.87,48.87,"głogowski,
nowosolski"
39,Grodzisk-26,"
P",2.36,-,-,grodziski
40,"
Grotów",T,957.63,810.45,-,"czarnkowsko-
trzcianecki,
międzychodzki,
strzelecko-drezdenecki"
41,GryŜyna,R,420.85,-,-,"krośnieński,
świebodziński"
42,Jabłonna,E,468.29,468.29,36.94,grodziski
43,Jabłonna S,E,194.55,140.98,26.48,grodziski
44,Jabłonna W,E,281.38,280.68,25.86,grodziski
45,"
Jankowice",E,24.63,23.28,0.09,"poznański,
szamotulski"
46,Jarocin,E,414.97,283.25,2.03,"jarociński,
pleszewski"
48,Jeniniec,E,0.70,-,0.70,gorzowski
49,Kaleje,E,440.40,293.26,38.40,".
poznański, średzki,
śremski"
50,Kaleje-E,E,66.12,65.67,26.02,średzki
51,Kamień Mały,B,129.84,-,"
-","gorzowski,
sulęciński"
52,Kamień Pomorski,E,11.21,-,0.53,kamieński
53,Kandlewo,R,239.53,-,-,"górowski,
wschowski"
54,Kargowa,R,2 650.00,-,"
-",zielonogórski
55,Kąkolewo,R,240.00,-,-,leszczyński
56,Kije,T,4.06,1.87,-,zielonogórski
57,Kije NE,Z,tylko pzb.,-,-,zielonogórski
58,Klęka E,Z,-,-,-,jarociński
59,Kosarzyn - N,E,2.81,"
1.13",0.03,krośnieński
60,Kosarzyn (E),Z,9.24,-,-,krośnieński
61,Kosarzyn (S),Z,5.46,-,-,krośnieński
62,Kościan S,E,4 921.19,"
3 344.18",406.68,kościański
63,Kościan S-Ca2,P,tylko pzb.,-,-,kościański
64,Kromolice,E,241.87,241.78,55.10,średzki
65,Kromolice S,E,"
539.22",489.49,23.77,"poznański, średzki"
66,Kulów,R,34.95,-,-,głogowski
67,Lipowiec,R,100.00,-,-,górowski
68,Lipowiec el. E,T,"
462.77",157.07,-,górowski
69,Lisewo,P,989.50,-,-,"jarociński,
wrzesiński"
70,Lubiatów,E,"
1 796.67",1 526.34,1.54,"międzychodzki,
strzelecko-
drezdenecki"
71,Lubiszyn,E,0.59,-,1.39,gorzowski
72,Łęki,E,61.57,61.57,14.34,grodziski
73,"Mełgiew A i
Mełgiew B","
E",846.57,218.73,26.67,"lubelski, świdnicki"
74,Michorzewo,E,13.26,-,2.45,nowotomyski
75,"
Międzychód",E,4 522.83,2 398.98,1.68,"międzychodzki,
strzelecko-
drezdenecki"
76,Międzyzdroje E,P,300.00,-,-,kamieński
77,Międzyzdroje W,P,300.00,-,-,kamieński
78,Młodasko,E,43.43,32.55,16.32,"poznański,
szamotulski"
79,Mozów S,T,0.41,-,-,zielonogórski
80,"
Namyślin",R,24.72,-,-,myśliborski
81,Naratów,E,183.02,161.66,29.45,górowski
82,Niechlów,E,201.93,74.21,14.41,górowski
84,Nowa Sól,R,tylko pzb.,-,-,nowosolski
85,Nowy Tomyśl,E,523.72,402.62,29.82,".
nowotomyski"
86,Ołobok,T,5.75,-,-,świebodziński
87,Pakosław,R,249.00,-,-,rawicki
88,Paproć,E,3 986.63,3 776.46,"
135.46","grodziski,
nowotomyski"
89,Paproć W,E,2 495.73,2 315.77,173.08,nowotomyski
90,Podrzewie,E,342.58,4.77,3.69,szamotulski
91,PoraŜyn,E,93.87,57.99,5.99,nowotomyski
92,Przytór,P,360.00,-,"
-",m.Świnoujście
93,Radlin,E,3 862.46,2 078.44,292.92,"jarociński, średzki"
94,Radoszyn,E,117.65,103.70,0.96,świebodziński
95,Radziądz,E,226.99,59.93,16.58,trzebnicki
96,Radziądz-W,R,40.00,-,-,trzebnicki
97,"Rawicz-dolomit
główny",P,230.00,"
-",-,rawicki
98,"Rawicz-wap.podst.-
cz.spąg.",P,475.00,"
-",-,rawicki
99,Rekowo,E,0.22,-,0.10,kamieński
100,Retno,E,tylko pzb.,-,0.48,krośnieński
101,Roszków,E,"
440.97",440.87,118.71,jarociński
102,RóŜańsko,T,2 231.52,744.49,-,myśliborski
103,Ruchocice,E,637.80,606.10,77.54,grodziski
104,Sędziny,P,"
80.00",-,-,szamotulski
105,Sławoborze,E,107.32,106.43,16.74,świdwiński
106,Sławoborze,E,2.45,-,0.41,świdwiński
107,Solec,P,76.00,-,-,śremski
108,Stanowice,P,602.03,-,-,gorzowski
109,Stęszew,Z,"
-",-,-,poznański
110,StęŜyca,E,404.90,108.44,2.65,"garwoliński, rycki"
111,Strykowo,Z,-,-,-,poznański
112,Szewce E,"
Z",53.21,-,-,"nowotomyski,
poznański"
113,Szewce W,Z,-,-,-,"nowotomyski,
poznański"
114,Szlichtyngowa,E,265.35,240.10,27.61,wschowski
115,"
Ślubów",E,34.78,28.43,10.20,górowski
116,"Środa
Wielkopolska",E,248.93,248.89,14.78,średzki
117,"Tarchały
(d.g.+cz.s.)",E,1 588.70,481.04,14.45,ostrowski
118,Trzebusz,E,27.16,4.11,3.64,gryficki
119,"
Turkowo",P,50.00,-,-,nowotomyski
120,Ujazd,E,104.73,7.05,0.25,grodziski
121,Uników,P,170.00,-,-,wieruszowski
123,Wierzchowice,G,5 728.12,-,-,milicki
124,Wierzchowice E,Z,14.68,-,-,".
milicki"
125,Wierzchowice W,Z,37.55,-,-,milicki
126,Wierzchowo,E,17.45,17.37,"
6.95","koszaliński,
szczecinecki"
127,Wierzowice,E,403.91,106.74,2.17,górowski
128,Wiewierz E,E,15.65,-,5.92,górowski
129,Wiewierz-element W,E,2.94,1.94,2.42,górowski
130,Wilcze-czerw.spąg.,R,498.73,-,"
-","wolsztyński,
zielonogórski"
131,"Wilcze-dolomit
główny",P,285.00,-,-,zielonogórski
132,Wilga,Z,-,-,-,otwocki
133,Wilków,E,1 078.72,"
969.48",100.67,"głogowski,
wschowski"
134,Winna Góra,P,203.87,199.97,-,"średzki, wrzesiński"
